first_batting,second_batting,ground_name,ball_number,current_ball_run,chasing_team_won,cumulative_runs,wickets_remaining
Royal Challengers Bangalore,Chennai Super Kings, Chennai,1,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,2,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,3,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,4,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,5,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,6,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,7,0,1,0,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,8,1,1,1,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,9,0,1,1,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,10,0,1,1,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,11,1,1,2,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,12,6,1,8,10
Royal Challengers Bangalore,Chennai Super Kings, Chennai,13,0,1,8,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,14,0,1,8,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,15,1,1,9,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,16,0,1,9,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,17,1,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,18,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,19,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,20,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,21,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,22,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,23,0,1,10,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,24,1,1,11,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,25,0,1,11,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,26,0,1,11,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,27,1,1,12,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,28,1,1,13,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,29,1,1,14,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,30,0,1,14,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,31,0,1,14,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,32,0,1,14,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,33,0,1,14,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,34,1,1,15,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,35,1,1,16,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,36,0,1,16,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,37,0,1,16,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,38,0,1,16,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,39,1,1,17,9
Royal Challengers Bangalore,Chennai Super Kings, Chennai,39,4,1,21,9
